source\target,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/material,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature
Lan/anaphor_gender_agreement,1.0000,0.0061,0.0073,0.0115,0.0083,0.0000,0.0025,0.0048,0.0010,0.0012,0.0011,0.0015,0.0023,0.0010,0.0000,0.0000,0.0014,0.0048,0.0016,0.0000,0.0060,0.0000,0.0000,0.0000,0.0048,0.0244,0.0000,0.0015,0.0027,0.0167,0.0000,0.0321,0.0122,0.0648,0.0190,0.0139,0.0000,0.0000,0.0026,0.0052,0.0000
Lan/det_noun_agreement_irregular,0.0000,1.0000,0.9979,0.9898,0.0055,0.0000,0.1069,0.9347,0.0010,0.0024,0.0000,0.0000,0.0012,0.0021,0.0000,0.0000,0.0000,0.0016,0.0033,0.0000,0.0143,0.0000,0.0015,0.0000,0.0016,0.0172,0.0000,0.0005,0.0038,0.0000,0.0000,0.0000,0.0030,0.0127,0.0100,0.0139,0.0000,0.0000,0.0065,0.0026,0.0046
Lan/det_noun_agreement_regular,0.0000,1.0000,0.9979,0.9860,0.0083,0.0000,0.1006,0.9483,0.0010,0.0012,0.0000,0.0000,0.0012,0.0010,0.0000,0.0000,0.0000,0.0063,0.0016,0.0000,0.0131,0.0000,0.0015,0.0000,0.0016,0.0029,0.0000,0.0005,0.0033,0.0000,0.0000,0.0053,0.0030,0.0211,0.0100,0.0092,0.0000,0.0000,0.0039,0.0026,0.0034
Lan/det_noun_agreement_with_adjective,0.0000,0.9902,0.9958,0.9809,0.0028,0.0000,0.0189,0.9840,0.0010,0.0000,0.0000,0.0015,0.0012,0.0000,0.0000,0.0000,0.0014,0.0016,0.0016,0.0000,0.0119,0.0000,0.0015,0.0000,0.0032,0.0072,0.0000,0.0005,0.0011,0.0000,0.0000,0.0053,0.0091,0.0155,0.0090,0.0046,0.0000,0.0000,0.0039,0.0013,0.0023
Lan/hypernymy,0.0000,0.0110,0.0125,0.0191,0.6612,0.0000,0.0000,0.0029,0.0000,0.0012,0.0000,0.0000,0.0035,0.0103,0.0000,0.0000,0.0014,0.0206,0.0016,0.0010,0.0095,0.0011,0.0029,0.0000,0.0112,0.0258,0.0010,0.0040,0.0060,0.0270,0.0000,0.0214,0.0122,0.0352,0.0200,0.0724,0.0000,0.0032,0.0052,0.0026,0.0011
Lan/npi,0.0000,0.0012,0.0021,0.0038,0.0028,1.0000,0.0013,0.0039,0.0000,0.0012,0.0000,0.0030,0.0023,0.0000,0.0000,0.0000,0.0014,0.0111,0.0016,0.0000,0.0060,0.0011,0.0000,0.0000,0.0064,0.0086,0.0000,0.0005,0.0033,0.0013,0.0000,0.0053,0.0122,0.0197,0.0120,0.0046,0.0000,0.0000,0.0065,0.0039,0.0011
Lan/subject_verb_agreement,0.0164,0.9303,0.9248,0.8750,0.0055,0.0000,0.9912,0.0256,0.0000,0.0000,0.0000,0.0015,0.0000,0.0010,0.0000,0.0000,0.0028,0.0380,0.0065,0.0010,0.0083,0.0011,0.0015,0.0000,0.0016,0.0029,0.0000,0.0005,0.0022,0.0000,0.0000,0.0160,0.0122,0.0141,0.0050,0.0169,0.0000,0.0021,0.0039,0.0065,0.0011
Lan/wug,0.0000,0.4450,0.5543,0.5344,0.0028,0.0000,0.0164,0.9995,0.0000,0.0000,0.0000,0.0030,0.0012,0.0052,0.0000,0.0000,0.0014,0.0285,0.0000,0.0000,0.0048,0.0000,0.0015,0.0000,0.0016,0.0057,0.0000,0.0000,0.0027,0.0090,0.0000,0.0160,0.0122,0.0211,0.0070,0.0000,0.0000,0.0011,0.0013,0.0026,0.0000
MD/add_sub_2op_symbolic,0.0000,0.0012,0.0021,0.0013,0.0000,0.0000,0.0000,0.0010,0.9960,0.9542,0.9946,0.9154,0.5657,0.0010,0.0000,0.0000,0.9126,0.0032,0.9919,0.0010,0.0036,0.9852,0.8874,0.3357,0.0048,0.0029,0.0000,0.0005,0.0005,0.0128,0.0000,0.0107,0.0061,0.0113,0.0010,0.0046,0.0000,0.0000,0.0039,0.0013,0.0000
MD/add_sub_2op_verbal,0.0000,0.0037,0.0010,0.0013,0.0000,0.0000,0.0000,0.0029,0.9970,0.9928,0.9935,0.9644,0.5798,0.0712,0.0000,0.0000,0.8669,0.0301,0.8713,0.0154,0.0226,0.9662,0.9079,0.4459,0.0176,0.0215,0.0000,0.0071,0.0478,0.0334,0.0000,0.0160,0.0243,0.0845,0.0460,0.0401,0.0000,0.0266,0.0288,0.0195,0.0115
MD/add_sub_3op_symbolic,0.0012,0.0037,0.0031,0.0026,0.0000,0.0000,0.0025,0.0019,0.9899,0.9288,0.9914,0.9110,0.5293,0.0433,0.0000,0.0000,0.8613,0.0301,1.0000,0.0021,0.0036,0.9641,0.7851,0.1874,0.0032,0.0115,0.0000,0.0010,0.0103,0.0167,0.0000,0.0428,0.0061,0.0268,0.0120,0.0293,0.0000,0.0011,0.0052,0.0052,0.0046
MD/add_sub_3op_verbal,0.0012,0.0024,0.0010,0.0026,0.0055,0.0000,0.0000,0.0015,0.5292,0.5947,0.6151,0.6350,0.1397,0.0320,0.0000,0.0000,0.1096,0.0380,0.0765,0.0144,0.0143,0.2468,0.2807,0.2104,0.0128,0.0057,0.0010,0.0066,0.0451,0.0167,0.0000,0.0160,0.0030,0.0465,0.0210,0.0200,0.0000,0.0043,0.0340,0.0052,0.0126
MD/code_A,0.0000,0.0012,0.0010,0.0000,0.0028,0.0000,0.0000,0.0029,0.9808,0.8311,0.9817,0.8175,0.9859,0.3034,1.0000,0.0440,0.9667,0.1300,1.0000,0.9794,0.1488,0.9620,0.7763,0.9950,0.0735,0.0287,0.0045,0.1498,0.2613,0.0706,0.0679,0.1123,0.1033,0.3831,0.2780,0.1495,0.0000,0.0554,0.0851,0.0625,0.0161
MD/code_B,0.0000,0.0012,0.0021,0.0013,0.0000,0.0000,0.0013,0.0087,0.0746,0.0290,0.0796,0.0460,0.3063,0.9505,0.7130,0.9730,0.1789,0.3011,0.9072,0.0917,0.2190,0.0369,0.0351,0.2174,0.1661,0.0330,0.0025,0.0373,0.1396,0.0128,0.1173,0.2353,0.3191,0.7113,0.7380,0.3205,0.0011,0.2460,0.0497,0.0768,0.0195
MD/code_conditional,0.0000,0.0037,0.0031,0.0013,0.0028,0.0000,0.0000,0.0179,0.0010,0.0024,0.0043,0.0074,0.3815,0.4861,1.0000,0.2830,0.0111,0.2488,0.4853,0.9887,0.1857,0.0053,0.0088,0.0421,0.1358,0.0316,0.0136,0.3729,0.4454,0.0770,0.0988,0.2086,0.2097,0.5282,0.4290,0.2727,0.0011,0.0660,0.1466,0.1029,0.0195
MD/code_list,0.0012,0.0024,0.0010,0.0013,0.0000,0.0000,0.0013,0.0102,0.0010,0.0048,0.0000,0.0015,0.1467,0.8132,0.4820,0.9950,0.0014,0.2773,0.4397,0.1143,0.1798,0.0000,0.0102,0.0040,0.1581,0.0416,0.0020,0.0474,0.2042,0.0180,0.1358,0.2727,0.3465,0.7085,0.7210,0.3421,0.0000,0.2961,0.0406,0.0612,0.0172
MD/code_loop,0.0000,0.0012,0.0010,0.0026,0.0028,0.0000,0.0013,0.0010,0.9385,0.7961,0.9505,0.8101,0.5763,0.0083,0.0000,0.0000,0.9820,0.0095,0.9967,0.0021,0.0060,0.9715,0.9006,0.2194,0.0032,0.0014,0.0000,0.0000,0.0005,0.0026,0.0000,0.0107,0.0030,0.0324,0.0100,0.0185,0.0000,0.0000,0.0052,0.0026,0.0011
MD/logic_propositional_1,0.0000,0.0024,0.0010,0.0000,0.0000,0.0000,0.0013,0.0024,0.0020,0.0000,0.0000,0.0030,0.0188,0.0609,0.0000,0.0000,0.0028,0.9635,0.7134,0.0381,0.7226,0.0000,0.0015,0.0060,0.0479,0.0100,0.0000,0.0166,0.1130,0.0359,0.0679,0.0642,0.1003,0.4197,0.1630,0.0293,0.0000,0.0043,0.0288,0.0156,0.0069
MD/logic_propositional_symbolic,0.0000,0.0037,0.0010,0.0013,0.0028,0.0000,0.0000,0.0010,0.0000,0.0012,0.0000,0.0030,0.0035,0.0341,0.0000,0.0000,0.0014,0.0158,0.2736,0.0134,0.0452,0.0011,0.0044,0.0030,0.0032,0.0086,0.0000,0.0000,0.0092,0.0000,0.0000,0.0267,0.0152,0.0366,0.0270,0.0169,0.0000,0.0011,0.0052,0.0065,0.0000
MD/logic_syllogism_1,0.0000,0.0024,0.0052,0.0064,0.0028,0.0000,0.0000,0.0063,0.0010,0.0036,0.0032,0.0030,0.0951,0.0805,0.1420,0.0000,0.0180,0.1601,0.5440,1.0000,0.1595,0.0021,0.0073,0.1453,0.1134,0.0187,0.0060,0.4228,0.3873,0.0411,0.0185,0.0856,0.0760,0.1056,0.0610,0.0601,0.0000,0.0117,0.0668,0.0638,0.0069
MD/logic_syllogism_symbolic,0.0012,0.0024,0.0000,0.0013,0.0000,0.0000,0.0000,0.0106,0.0000,0.0000,0.0000,0.0030,0.0246,0.1445,0.0000,0.0000,0.0028,0.7211,0.6824,0.0433,0.9631,0.0000,0.0000,0.0581,0.0527,0.0029,0.0000,0.0333,0.1347,0.0167,0.0679,0.1444,0.1672,0.5352,0.2740,0.0678,0.0000,0.0170,0.0288,0.0143,0.0023
MD/mul_div_2op_symbolic,0.0000,0.0012,0.0010,0.0038,0.0000,0.0000,0.0000,0.0010,0.9909,0.9445,0.9903,0.9050,0.5434,0.0083,0.0000,0.0000,0.8821,0.0365,1.0000,0.0021,0.0036,0.9895,0.9079,0.2605,0.0048,0.0000,0.0000,0.0000,0.0000,0.0077,0.0000,0.0214,0.0061,0.0183,0.0070,0.0077,0.0000,0.0000,0.0039,0.0026,0.0000
MD/mul_div_2op_verbal,0.0012,0.0024,0.0021,0.0013,0.0000,0.0000,0.0000,0.0019,0.9335,0.9168,0.9473,0.8709,0.5035,0.0547,0.0000,0.0000,0.7795,0.0555,0.8453,0.0072,0.0190,0.9451,0.9035,0.1533,0.0160,0.0100,0.0000,0.0010,0.0152,0.0090,0.0000,0.0428,0.0274,0.1183,0.0670,0.0447,0.0000,0.0213,0.0288,0.0143,0.0103
MD/number_sorting,0.0000,0.0024,0.0010,0.0026,0.0000,0.0000,0.0013,0.0015,0.0010,0.0060,0.0022,0.0119,0.0270,0.0258,0.0000,0.0000,0.0042,0.0158,0.0147,0.0072,0.0095,0.0021,0.0132,0.7956,0.0240,0.0014,0.0000,0.0066,0.0179,0.0270,0.0000,0.0321,0.0061,0.0437,0.0210,0.0354,0.0000,0.0021,0.0118,0.0104,0.0023
ToM/agent,0.0000,0.0000,0.0010,0.0013,0.0000,0.0000,0.0013,0.0005,0.0000,0.0000,0.0000,0.0030,0.0082,0.0206,0.0000,0.0000,0.0028,0.1189,0.2687,0.0463,0.0036,0.0011,0.0015,0.0000,0.0319,0.0014,0.0000,0.0116,0.0348,0.0424,0.0247,0.1176,0.0669,0.0437,0.0110,0.0031,0.0000,0.0021,0.0092,0.0182,0.0011
ToM/desires_goals,0.0012,0.0012,0.0021,0.0013,0.0000,0.0000,0.0013,0.0019,0.0010,0.0012,0.0000,0.0000,0.0012,0.0072,0.0000,0.0000,0.0028,0.0079,0.0049,0.0010,0.0036,0.0011,0.0029,0.0000,0.0080,0.0172,0.0000,0.0020,0.0043,0.0064,0.0000,0.0214,0.0091,0.0225,0.0060,0.0108,0.0000,0.0053,0.0052,0.0039,0.0000
ToM/emotion_fewshot,0.0000,0.0037,0.0063,0.0038,0.0028,0.0000,0.0013,0.0058,0.0010,0.0024,0.0011,0.0045,0.0188,0.0691,0.0000,0.0000,0.0042,0.0713,0.0684,0.0762,0.0333,0.0000,0.0058,0.0000,0.0112,0.0330,0.9864,0.4970,0.4894,0.6110,0.0370,0.0428,0.0304,0.1718,0.1230,0.1448,0.0000,0.0245,0.0615,0.1536,0.0023
ToM/norm_appropriate,0.0000,0.0024,0.0052,0.0026,0.0028,0.0000,0.0000,0.0044,0.0000,0.0012,0.0011,0.0015,0.0188,0.0268,0.0000,0.0000,0.0042,0.0967,0.0505,0.7837,0.0298,0.0000,0.0058,0.0000,0.0240,0.0230,0.0890,0.9995,0.7251,0.1078,0.0185,0.0588,0.0334,0.0915,0.0580,0.1695,0.0000,0.0064,0.0406,0.6250,0.0069
ToM/norm_moral,0.0012,0.0073,0.0021,0.0064,0.0028,0.0000,0.0013,0.0024,0.0010,0.0012,0.0000,0.0045,0.0211,0.0857,0.0000,0.0010,0.0014,0.2472,0.3827,0.5489,0.0667,0.0011,0.0044,0.0010,0.0367,0.0402,0.0644,0.7735,0.9804,0.1104,0.0679,0.0802,0.0699,0.1465,0.1240,0.1125,0.0000,0.0309,0.0602,0.4258,0.0057
ToM/primary_emotions,0.0012,0.0000,0.0021,0.0026,0.0000,0.0000,0.0000,0.0010,0.0000,0.0012,0.0000,0.0030,0.0035,0.0052,0.0000,0.0000,0.0014,0.0095,0.0147,0.0134,0.0012,0.0000,0.0029,0.0000,0.0112,0.0215,0.0015,0.0116,0.0353,0.0886,0.0000,0.0267,0.0122,0.0268,0.0100,0.0046,0.0000,0.0011,0.0065,0.0182,0.0000
ToM/social_interactions,0.0000,0.0000,0.0000,0.0038,0.0028,0.0000,0.0013,0.0034,0.0020,0.0000,0.0000,0.0015,0.0070,0.0299,0.0000,0.0000,0.0028,0.1094,0.3697,0.0154,0.0274,0.0011,0.0000,0.0000,0.0351,0.0201,0.0010,0.0308,0.0712,0.0449,0.0123,0.0909,0.0456,0.0845,0.0390,0.0616,0.0000,0.0202,0.0157,0.0247,0.0011
ToM/social_relations,0.0012,0.0000,0.0010,0.0000,0.0028,0.0000,0.0013,0.0010,0.0000,0.0012,0.0000,0.0015,0.0117,0.1053,0.0000,0.0000,0.0028,0.2567,0.4365,0.0144,0.0833,0.0021,0.0000,0.0000,0.0272,0.0086,0.0000,0.0071,0.0397,0.0257,0.0617,0.2086,0.1550,0.1296,0.0900,0.0339,0.0000,0.0021,0.0079,0.0117,0.0069
phys/material,0.0000,0.0012,0.0010,0.0051,0.0028,0.0000,0.0013,0.0034,0.0000,0.0000,0.0011,0.0030,0.0070,0.0588,0.0000,0.0000,0.0042,0.1648,0.3925,0.0227,0.0714,0.0000,0.0029,0.0000,0.0304,0.0143,0.0000,0.0106,0.0255,0.0000,0.0556,0.1070,0.1459,0.0944,0.0520,0.0169,0.0000,0.0021,0.0144,0.0078,0.0034
phys/phys_newton,0.0012,0.0037,0.0052,0.0026,0.0000,0.0000,0.0025,0.0058,0.0000,0.0048,0.0000,0.0045,0.1761,0.4954,0.4340,0.4590,0.0055,0.5705,0.6091,0.0340,0.7143,0.0000,0.0073,0.1984,0.1997,0.0689,0.0070,0.1186,0.4970,0.0655,0.1790,0.2941,0.3891,0.9606,0.9150,0.3344,0.0023,0.2790,0.0798,0.1081,0.0206
phys/phys_prost,0.0012,0.0037,0.0021,0.0051,0.0000,0.0000,0.0000,0.0063,0.0000,0.0048,0.0000,0.0030,0.1420,0.5439,0.3010,0.5600,0.0042,0.4976,0.6075,0.0154,0.5726,0.0000,0.0088,0.3387,0.2300,0.0674,0.0196,0.1176,0.5155,0.0719,0.1296,0.2888,0.3313,0.9352,0.9470,0.3374,0.0000,0.1885,0.1204,0.1068,0.0218
phys/physics_brightness,0.0000,0.0049,0.0042,0.0064,0.0028,0.0000,0.0025,0.0039,0.0010,0.0024,0.0000,0.0030,0.0129,0.0888,0.0000,0.0010,0.0028,0.0507,0.0651,0.0021,0.0274,0.0021,0.0029,0.0010,0.0256,0.0230,0.0045,0.0540,0.1597,0.0064,0.0247,0.0642,0.0638,0.1972,0.1670,1.0000,0.1384,0.0703,0.0432,0.0443,0.0057
phys/physics_elasticity,0.0012,0.0037,0.0052,0.0153,0.0000,0.0000,0.0126,0.0237,0.0000,0.0024,0.0000,0.0015,0.0070,0.0413,0.0000,0.0000,0.0042,0.0634,0.0456,0.0124,0.0060,0.0000,0.0058,0.0000,0.0192,0.0215,0.0050,0.0101,0.1168,0.0642,0.0062,0.0588,0.0851,0.1338,0.0990,0.1094,1.0000,0.0298,0.0275,0.0365,0.0149
phys/physics_solubility,0.0000,0.0012,0.0021,0.0051,0.0028,0.0000,0.0088,0.0106,0.0000,0.0012,0.0000,0.0030,0.0129,0.0784,0.0000,0.0000,0.0042,0.0840,0.0603,0.0484,0.0202,0.0000,0.0088,0.0030,0.0208,0.0143,0.0045,0.0222,0.1548,0.0116,0.0370,0.0535,0.0851,0.1676,0.1070,0.2635,0.0000,0.9979,0.0262,0.0417,0.0872
phys/physics_speed,0.0000,0.0049,0.0031,0.0051,0.0028,0.0000,0.0000,0.0024,0.0010,0.0036,0.0032,0.0163,0.0293,0.0537,0.0010,0.0000,0.0361,0.0761,0.4039,0.5850,0.0357,0.0053,0.0102,0.0240,0.0319,0.0402,0.0473,0.4914,0.3987,0.0860,0.0185,0.0588,0.0760,0.1746,0.1090,0.0940,0.0000,0.0437,0.9607,0.2552,0.0218
phys/physics_stability,0.0000,0.0049,0.0042,0.0064,0.0028,0.0000,0.0013,0.0034,0.0000,0.0012,0.0000,0.0045,0.0246,0.0712,0.0070,0.0000,0.0014,0.0872,0.2752,0.2451,0.0381,0.0000,0.0058,0.0000,0.0192,0.0588,0.0679,0.8113,0.7523,0.0988,0.0556,0.0535,0.0638,0.1690,0.1010,0.1279,0.0000,0.0607,0.0903,0.9896,0.0149
phys/physics_temperature,0.0012,0.0061,0.0042,0.0077,0.0000,0.0000,0.0000,0.0034,0.0010,0.0036,0.0000,0.0015,0.0094,0.0630,0.0000,0.0000,0.0014,0.0967,0.0228,0.0021,0.0048,0.0000,0.0044,0.0020,0.0144,0.0215,0.0020,0.0055,0.0728,0.0411,0.0000,0.0374,0.0334,0.1113,0.0890,0.0431,0.0000,0.4633,0.0641,0.0234,1.0000
